"","X1","ID","Ref","Pred","Max","size","xlab","ylab"
"1",17,507,0.00089126559714795,0,3,1122,3,41
"2",18,508,0,0,3,1089,3,42
"3",24,740,0,0,3,1122,4,41
"4",25,741,0.000918273645546373,0,3,1089,4,42
"5",26,742,0,0,3,1089,4,43
"6",27,743,0,0,3,1122,4,44
"7",28,744,0,0,3,1089,4,45
"8",29,745,0,0,3,1089,4,46
"9",30,746,0,0,3,1122,4,47
"10",37,972,0,0,3,1122,5,40
"11",38,973,0,0,3,1156,5,41
"12",39,974,0,0,3,1122,5,42
"13",40,975,0,0,3,1122,5,43
"14",41,976,0,0,3,1156,5,44
"15",42,977,0,0,3,1122,5,45
"16",43,978,0,0,3,1122,5,46
"17",44,979,0,0,3,1156,5,47
"18",45,980,0,0,3.5,1122,5,48
"19",46,981,0,0,3.5,1122,5,49
"20",47,982,0,0,3.5,1156,5,50
"21",48,983,0,0,3,1122,5,51
"22",63,1205,0,0,3,1089,6,40
"23",64,1206,0,0,3,1122,6,41
"24",65,1207,0,0,3,1089,6,42
"25",66,1208,0,0,3,1089,6,43
"26",67,1209,0,0,3.5,1122,6,44
"27",68,1210,0,0,3.5,1089,6,45
"28",69,1211,0,0,3,1089,6,46
"29",70,1212,0,0,3,1122,6,47
"30",71,1213,0,0,3,1089,6,48
"31",72,1214,0,0,3,1089,6,49
"32",73,1215,0,0,3.5,1122,6,50
"33",74,1216,0,0,3,1089,6,51
"34",75,1217,0,0,3.5,1089,6,52
"35",76,1218,0,0,3.5,1122,6,53
"36",77,1219,0,0,3,1089,6,54
"37",78,1220,0,0,3,1089,6,55
"38",79,1221,0,0,3,1122,6,56
"39",93,1438,0,0,3,1089,7,40
"40",94,1439,0,0,3,1122,7,41
"41",95,1440,0,0,3,1089,7,42
"42",96,1441,0,0,3,1089,7,43
"43",97,1442,0,0,3,1122,7,44
"44",98,1443,0,0,3,1089,7,45
"45",99,1444,0,0,3,1089,7,46
"46",100,1445,0,0,3,1122,7,47
"47",101,1446,0,0,3.5,1089,7,48
"48",102,1447,0,0,3.5,1089,7,49
"49",103,1448,0,0,3.5,1122,7,50
"50",104,1449,0,0,3.5,1089,7,51
"51",105,1450,0,0,3.5,1089,7,52
"52",106,1451,0,0,3.5,1122,7,53
"53",107,1452,0,0,3.5,1089,7,54
"54",108,1453,0,0,3.5,1089,7,55
"55",109,1454,0,0,3.5,1122,7,56
"56",110,1455,0.000918273645546373,0,3.5,1089,7,57
"57",111,1456,0,0,3.5,1089,7,58
"58",112,1457,0,0,3,1122,7,59
"59",113,1458,0,0,3,1089,7,60
"60",123,1671,0,0,3,1122,8,40
"61",124,1672,0,0,3,1156,8,41
"62",125,1673,0,0,3,1122,8,42
"63",126,1674,0,0,3,1122,8,43
"64",127,1675,0,0,3,1156,8,44
"65",128,1676,0,0,3,1122,8,45
"66",129,1677,0,0,3,1122,8,46
"67",130,1678,0,0,3,1156,8,47
"68",131,1679,0,0,3,1122,8,48
"69",132,1680,0.00089126559714795,0,3,1122,8,49
"70",133,1681,0,0,3,1156,8,50
"71",134,1682,0.00089126559714795,0,3.5,1122,8,51
"72",135,1683,0,0,3.5,1122,8,52
"73",136,1684,0,0,3.5,1156,8,53
"74",137,1685,0,0,3.5,1122,8,54
"75",138,1686,0,0,3.5,1122,8,55
"76",139,1687,0,0,3.5,1156,8,56
"77",140,1688,0,0,3.5,1122,8,57
"78",141,1689,0,0,3,1122,8,58
"79",142,1690,0,0,3,1156,8,59
"80",143,1691,0,0,3,1122,8,60
"81",144,1692,0,0,3,1122,8,61
"82",145,1693,0,0,3,1156,8,62
"83",146,1694,0.00089126559714795,0,3,1122,8,63
"84",147,1695,0,0,3,1122,8,64
"85",148,1696,0,0,3,1156,8,65
"86",171,1903,0,0,3,1089,9,39
"87",172,1904,0,0,3,1089,9,40
"88",173,1905,0,0,3,1122,9,41
"89",174,1906,0,0,3,1089,9,42
"90",175,1907,0,0,3,1089,9,43
"91",176,1908,0,0,3.5,1122,9,44
"92",177,1909,0,0,3,1089,9,45
"93",178,1910,0,0,3,1089,9,46
"94",179,1911,0,0,3,1122,9,47
"95",180,1912,0,0,3,1089,9,48
"96",181,1913,0,0,3,1089,9,49
"97",182,1914,0,0,3,1122,9,50
"98",183,1915,0,0,3,1089,9,51
"99",184,1916,0,0,3.5,1089,9,52
"100",185,1917,0,0,3.5,1122,9,53
"101",186,1918,0,0,3.5,1089,9,54
"102",187,1919,0,0,3.5,1089,9,55
"103",188,1920,0,0,3.5,1122,9,56
"104",189,1921,0,0,3.5,1089,9,57
"105",190,1922,0,0,3,1089,9,58
"106",191,1923,0,0,3,1122,9,59
"107",192,1924,0,0,3,1089,9,60
"108",193,1925,0,0,3,1089,9,61
"109",194,1926,0,0,3,1122,9,62
"110",195,1927,0,0,3,1089,9,63
"111",196,1928,0,0,3,1089,9,64
"112",197,1929,0,0,3,1122,9,65
"113",198,1930,0,0,3,1089,9,66
"114",199,1931,0,0.000918273645546373,3,1089,9,67
"115",200,1932,0.00267379679144385,0,3.5,1122,9,68
"116",201,1933,0,0.000918273645546373,3.5,1089,9,69
"117",202,1934,0,0,3,1089,9,70
"118",220,2136,0,0,3,1089,10,39
"119",221,2137,0,0,3,1089,10,40
"120",222,2138,0,0,3,1122,10,41
"121",223,2139,0,0,3.5,1089,10,42
"122",224,2140,0,0,3,1089,10,43
"123",225,2141,0,0,3.5,1122,10,44
"124",226,2142,0,0,3,1089,10,45
"125",227,2143,0,0,3,1089,10,46
"126",228,2144,0,0,3.5,1122,10,47
"127",229,2145,0,0,3.5,1089,10,48
"128",230,2146,0,0,3.5,1089,10,49
"129",231,2147,0,0,3.5,1122,10,50
"130",232,2148,0,0,3.5,1089,10,51
"131",233,2149,0,0,3.5,1089,10,52
"132",234,2150,0,0,3.5,1122,10,53
"133",235,2151,0,0,3.5,1089,10,54
"134",236,2152,0.00367309458218549,0.00550964187327824,3.5,1089,10,55
"135",237,2153,0,0,3.5,1122,10,56
"136",238,2154,0,0,3.5,1089,10,57
"137",239,2155,0,0,3,1089,10,58
"138",240,2156,0,0,3,1122,10,59
"139",241,2157,0,0,3,1089,10,60
"140",242,2158,0,0,3.5,1089,10,61
"141",243,2159,0,0,3,1122,10,62
"142",244,2160,0,0,3,1089,10,63
"143",245,2161,0,0,3,1089,10,64
"144",246,2162,0,0,3,1122,10,65
"145",247,2163,0.00183654729109275,0,3,1089,10,66
"146",248,2164,0.00183654729109275,0.000918273645546373,3.5,1089,10,67
"147",249,2165,0,0.00089126559714795,3.5,1122,10,68
"148",250,2166,0,0,3.5,1089,10,69
"149",251,2167,0.000918273645546373,0.00183654729109275,3,1089,10,70
"150",252,2168,0,0.00089126559714795,3,1122,10,71
"151",253,2169,0,0.000918273645546373,3,1089,10,72
"152",254,2170,0,0.000918273645546373,3,1089,10,73
"153",255,2171,0.00267379679144385,0.0071301247771836,3,1122,10,74
"154",269,2369,0,0,3,1122,11,39
"155",270,2370,0,0.00445632798573975,3,1122,11,40
"156",271,2371,0,0,3,1156,11,41
"157",272,2372,0,0,3,1122,11,42
"158",273,2373,0,0,3,1122,11,43
"159",274,2374,0,0,3.5,1156,11,44
"160",275,2375,0,0,3,1122,11,45
"161",276,2376,0,0,3,1122,11,46
"162",277,2377,0,0,3.5,1156,11,47
"163",278,2378,0,0,3.5,1122,11,48
"164",279,2379,0.00980392156862745,0.0115864527629234,3.5,1122,11,49
"165",280,2380,0,0,3.5,1156,11,50
"166",281,2381,0.00623885918003565,0.00802139037433155,3.5,1122,11,51
"167",282,2382,0,0.00089126559714795,3.5,1122,11,52
"168",283,2383,0.00259515570934256,0.0103806228373702,3.5,1156,11,53
"169",284,2384,0.00802139037433155,0.0115864527629234,3.5,1122,11,54
"170",285,2385,0.0124777183600713,0.0160427807486631,3.5,1122,11,55
"171",286,2386,0.00432525951557093,0.00432525951557093,3.5,1156,11,56
"172",287,2387,0,0,3.5,1122,11,57
"173",288,2388,0,0,3.5,1122,11,58
"174",289,2389,0.000865051903114187,0,3.5,1156,11,59
"175",290,2390,0.0490196078431373,0.0793226381461676,3,1122,11,60
"176",291,2391,0,0.0053475935828877,3,1122,11,61
"177",292,2392,0,0,3.5,1156,11,62
"178",293,2393,0.00089126559714795,0.00089126559714795,3.5,1122,11,63
"179",294,2394,0.0169340463458111,0.0151515151515152,3,1122,11,64
"180",295,2395,0.000865051903114187,0,3,1156,11,65
"181",296,2396,0,0,3,1122,11,66
"182",297,2397,0,0,3.5,1122,11,67
"183",298,2398,0,0,3.5,1156,11,68
"184",299,2399,0,0,3.5,1122,11,69
